movie,reviews,results,gender,age,country
3,"""I'm a cartoon!"" ""You're an illustration!"" what does that suppose to mean?! This plot could not be worse as a boy, who's afraid of everything, becomes very brave at the very end of the film because he went into a library. The only purpose of this waste of celluloid was to encourage American kids to read, when a cheaper, and more effective way of doing this could have been a series of adverts! Even the talents of Macaulay Culkin(as the kid), Christopher Lloyd (as the so predictable ""that he's a the Page Master"" librarian), could save this pointless film from the dull plot. Even the voices of Whoopi Goldberg, Patrick Stewart,(even) Leonard Nimoy, or the Hollywood God of voices, Frank Welker as the cartoon characters don't save it ever. I can only describe it as a 1990s equivalent to the even ghastly 1978 adaption of the Water Babies, because the bland animation makes the film worse, not improving the dull plot!",0,Male,23,United States of America
5,"Somehow, this movie manages to be invigorating, bittersweet, and heartwarming at the same time. Stars like Tony Shalhoub (from Providence) bring the tale to life. The story itself is inspiring. We see a desperate, up-and-down life through the most innocent eyes imaginable: a bird's.<br /><br />Paulie begins his life as a baby parrot given to a little girl (played by Hallie Eisenberg, also known as the Pepsi girl) with a speech impediment. While she learns to speak correctly, so does Paulie. However, unlike most birds, he can speak and understand everything being said. The military father doesn't like the bird, so he is sent to a pawn shop and bought by an aging artist, Ivy. She teaches him manners, etc., while traveling across the country to find Paulie's owner. The movie continues with several twists of fate, until Paulie ends up at a laboratory where he is eventually hidden away in a basement, and found by a Russian custodian, who is touched by the bird's story. the plot is in keeping with the simple, metaphorical theme that language is a gift, and a curse. I would like to say that the soundtrack is astounding. A beautiful mixture of flute, digital base, and horns enhance the movie to the point of pure ecstasy. The sweeping camera angles and breathtaking scenery beautify the story even more. And, as a final remark, the puppetry is entirely believable. (Unlike in star wars, where Yoda resembles a Muppet) This film is one of my favorite movies, with the added remark that my wonderful parakeet of four years died recently. Overall, I give this movie **** out of four stars, two thumbs up, and a big hug.",1,Male,25,Europe
4,"This hodge-podge adapted from a Gore Vidal novel (actually one of the great American writers) makes THE MAGIC CHRISTIAN and VALLEY OF THE DOLLS look like Fellini art-works. Raquel Welch, with an incredible body (and she's actually not very tall) in a lead role (except for KANSAS CITY BOMBER when she was quite good) playing Rex Reed's (bad movie reviewer; not critic) alter-ego, only to be surrounded by drag queen (great chick) Mae West, horny John Huston, a young and ""naive"" Farrah Fawcett (pre-Lee Majors; what a shame), and other various creep-azoids to pretend to spoof WAY too may things has nothing going for it except inter-spliced old films clips (i.e. Widmark in KISS OF DEATH, Lena Horne)...JUST so they can continue to bleed the life out of everyone.<br /><br />A 2 out of 10. Best performance = ?. It's so bad, it's worth seeing!",0,Female,53,Europe
2,"Robert Jannuci,Luca Venantini, Venantino Venantini, Alicia Moro (two stars are from CITY OF THE LIVING DEAD (I wonder what Luca is doing these days, probably a lawyer or something, like Bela Lugosi Jr. or David Hennessey there kid from dark shadows who wants to forget dark shadows existed). Anyway, in the Thorn EMI video there's no music over the opening credits . . . but the music is great once it comes in . . . with the Italian movies the films aren't as good as the music . . . my favorite scene is with the boy with the robot arm following loner-Alien through the desert. Alien says why are you following me. Tommy answers because i feel like it . . . Alien replies which way are you headed Tommy says West then Alien says well, I'm going east. So after a while of walking, the theme playing in the background Alien looks up and sees Tommy sitting on a rock petting a pet hamster . . . tommy looks up and says to Alien, what took you so long . . . I love this movie . . . It touches my heart. The boy with the robot arm needs a daddy and Alien is drafted in to being Tommy's daddy in the desert . . . oh yeah, they need water too . . . not THE ROAD WARRIOR (MAD MAX 2) by any means but a silly western/post nuke movie with a boy with a robot arm and Alien and Trash and a few other good guys with a mean chick with an iron claw and CRAZY BULL who looks like Wez in the Road warrior . . .on Sunday afternoons on channel 57 (philadelphia, PA) after church i'd come home and find this on . . . often . . . too often. Love it. 10/10",1,Male,29,Mexico
4,"A movie/documentary about different people in Austria on the hottest weekend of the year. It follows what they are doing and maybe more what they are not doing. The tempo is very quiet......so you have to relax.......breathe in...breathe out before you see it......<br /><br />First you think....but nothing is happening and you get a little angry over that..and thats the problem, because its the mood of the film and the really nice social realistic pictures which are nice in this film...........a lot of people will say its disgusting......but its not that bad...i think its more used for the marketing....and theres some really funny moments...a 60 old woman stripping.....i guarantee its the most unsexy striptease in film history......its movie which is real..i think thats the word......right up in your face.......and that makes it a bit scary.no computer manipulation here.....its real life...and as we all know movies can win over reality when it comes to doing sick things..........so its much worse in the real world.......<br /><br />If you survive the movie you can start to look at your neighbors and think...maybe they are like the persons in the movie...i bet theres a lot of them out there......sick...crazy people living with a nice facade........after seing the movie i feel its more interesting to look at my neighbors........<br /><br />But maybe you shouldnt see this movie on your first date.........",1,Female,62,Japan
3,"Watching this PPV, I had high expectations for it, since Smackdown is the best show in WWE, this is a very good PPV as it is the last one before Wrestlemania.<br /><br />FIRST MATCH-HARDY BOYS & CHRIS BENOIT VS. MVP & MNM W/ MELINA IN A 6 MAN TAG TEAM MATCH Good way to start the match. It started a bit slow at the start, but later the pace quickened & the match got more exciting & entertaining. Benoit rolls through & makes Joey Mercury tap out to get a victory for the Hardy Boys & himself. 6/10<br /><br />SECOND MATCH- GREGORY HELMS {CHAMPION} VS. SHANNON MOORE VS. FUNAKI VS. CHAVO GUERRERO VS. DAIVAIRI VS. SCOTTY 2 HOTTY VS. JAMIE NOBLE VS. JIMMY WANG YANG IN AN OPEN CRUISERWEIGHT INVITATIONAL MATCH FOR THE WWE CRUISERWEIGHT CHAMPIONSHIP I'm a very big fan of Cruiserweights, & I never get disappointed watching them, especially in this match here. Chavo Guerrero nails the Frog Splash on Jimmy Wang Yang to get the win & become the new WWE Cruiserweight Champion. 5/10<br /><br />THIRD MATCH- FINLAY & LITTLE BASTARD VS. BOOGEYMAN & LITTLE BOOGEYMAN This was not really a wrestling match, it was more like a comedy match, despite not being a clear wrestling contest, it still entertained me with the funny antics. Finlay nails the Little Boogeyman with the Shillaegh to get the win. Boogeyman does not deserve to be on a PPV, & does not deserve to be in WWE. 4/10<br /><br />FOURTH MATCH- KANE VS. KING BOOKER W/ SHARMELL This was a surprisingly good match, I thought it would be mediocre, but it turned out into a real competitive wrestling contest. Hats off to both men, pulling a very entertaining match. Kane wins after a Chokeslam on King Booker. 6/10<br /><br />FIFTH MATCH- PAUL London & BRIAN KENDRICK {CHAMPIONS} VS. DEUCE & DOMINO W/ CHERRY FOR THE WWE TAG TEAM CHAMPIONSHIPS Not really that much of a good match, Deuce & Domino need more training to wrestle, & London & Kendrick are the only ones keeping this match fast paced. London & Kendrick retain their titles, after Kendrick gets a roll-up on one of the guys for the win. 4/10<br /><br />SIXTH MATCH- BOBBY LASHLEY {CHAMPION} VS. MR. KENNEDY FOR THE ECW CHAMPIONSHIP Mr. Kennedy attacks Lashley from behind, before the match starts. It was an okay match, but not really good. Lashley & Kennedy have a bit of chemistry, but not enough to pull a great match. Kennedy wins by DQ, after Lashley nails him with a chair, then assaults him with the chair all the way to the entrance area. Lashley still retains his title. 4/10<br /><br />SEVENTH MATCH- JOHN CENA & SHAWN MICHAELS VS. BATISTA & UNDERTAKER This is probably the greatest tag team match that I have ever seen. Hats off to all of these men {yes even Batista} for pulling off as close as a 5 star main event classic. All 4 of these men played their parts in the match very well, as this was a very great & entertaining tag team match. Batista turns his back on Undertaker spine-busting him, then leaving the ring, which prompts Michaels to nail Sweet Chin Music, then Cena to nail an F-U for the hard fought victory. 7/10<br /><br />I don't know why everyone says that this PPV is not good enough, or it is boring, I just don't get it. It is a great PPV which Smackdown always delivers. A great PPV indeed.<br /><br />Overall I'll give it 8/10 & a B+",1,Female,53,Europe
3,"This movie is truly worth seeing - Robin Tunney excels and Henry Thomas proves that he's one of those rarities, the child 'actor' who grows up to become a real actor. The characters are perfectly drawn, and in the wrong hands because of their depth, they could have been unconvincing - but all the actors are simply astounding. The cast of this movie has to rank up there with that of ""Girl, Interrupted"" (both movies coincidentally star the brilliant Clea Duvall). The score and music selections fit perfectly, and there is plenty of action to prevent the movie becoming just a character study. If you want the story, you won't find it in this review, but I will say that the climax will haunt you for a long time.",1,Male,42,United States of America
3,"I don't know why, but when I am asked about bad movies I have seen, I often think of ""The Air Up There"". I know that technically, lots of movies are horrible compared to it, and I have seen worse acting. it's just that it's so bland, so predictable. In a word: mediocre.",0,Female,28,Canada
2,"I must say that during my childhood I'm quite proud of a lot of the movies I've rented. The exception being Theodore Rex. Talk about the all time swindler movie in any actor's resume. Could you just imagine what Whoopie's fired agent must have told her to sign on to this piece of crap ""Hey Whoop, you ever seen that show Dinosaurs, yeah well they're making a movie out of it, and you get to see Germany!"" After that that agent must have referenced Star Wars a lot.<br /><br />This movie was so bad I figured Whoopie must have bought out every copy of this film and had it destroyed. I just wish she could have done the same thing to my memory, because my sister still gives me crap for watching that movie. I mean c'mon, I'll even admit I watched Mr. Nanny and Kazzam in theaters (good reasons why I gave up on both Hulk Hogan and Shaq for awhile), yet this one sticks out in my mind as the worst of my childhood, and the biggest rental regret of my life, and that was 16 years ago. I'm 24 now if you want to do the math.<br /><br />Whenever I think of my all-time list of worst movies I don't even mention this one, because like a raped step-child, I try hard to repress that it ever happened. Screw you Whoopie, just be glad people only acknowledge Eddie and Sister Act 2 as your worst you lucky stiff.",0,Female,58,Mexico
5,"Well, you know the rest! This has to be the worst movie I've seen in a long long time. I can only imagine that Stephanie Beaham had some bills to pay when taking on this role.<br /><br />The lead role is played by (to me) a complete unknown and I would imagine disappeared right back into obscurity right after this turkey.<br /><br />Bruce Lee led the martial arts charge in the early 70's and since then fight scenes have to be either martial arts based or at least brutal if using street fighting techniques. This movie uses fast cuts to show off the martial arts, however, even this can't disguise the fact that the lady doesn't know how to throw a punch. An average 8 year old boy would take her apart on this showing.<br /><br />Sorry, the only mystery on show here is how this didn't win the golden raspberry for its year.",0,Female,30,Europe
5,"It was an excellent piece to the puppet series because this film showed all of the series, from one to seven. And this was about one woman trying to stop the new puppet master because I would have never guessed that the puppets would be in pain. Plus it showed some of the puppet master series that I didn't see and I what to see it so badly like part two. It showed an appearance of Torch which can turn things and humans, which is cool, and showed the return of the puppet master from part one. It also showed little aliens from part 4 that was also cool, it showed other people episodes that might be good to them and it did.So thanks to this Puppet Master is going to be a big hit.",1,Male,41,Japan
5,"""A Family Affair"" takes us back to a less complicated time in America. It's sobering to see how different everything was back then. It was a more innocent era in our country and we watch a 'functional' family dealing in things together. The film also marks the beginning of the series featuring the Hardy family.<br /><br />The film, directed by George Seitz, is based on a successful play. Judge James Hardy, and his wife Emmily, are facing a domestic crisis that must be dealt with. Married daughter Joan comes home after she has committed a social blunder and her husband holds her responsible. At the same time, another daughter, Marion, brings home a beau, who is clear will clash with her father. The happy teen ager Andy, seems to be the only one without a problem until his mother makes him escort Polly to the dance, something he is reluctant to do.<br /><br />Needless to say, Judge Hardy will prove why he knows best as he puts a plan into action to get everyone together again. After all, he is a man that understands, not only the law, but how to deal with those outside forces that threatens his standing in the community and what will make his family happy.<br /><br />Lionel Barrymore plays Judge Hardy with conviction. He is the glue that holds everything together. Spring Byington is seen as Emily, the mother. Mickey Rooney has a small part in this film, but he is as always, fun to watch. Cecilia Parker and Julie Haydon appeared as the daughters, Marion and Joan. Sara Hayden and Margaret Marquis are also featured in the film as Aunt Milly and Polly, the girl that surprises Andy with her beauty.<br /><br />""A Family Affair"" is a good way to observe our past through the positive image painted of an American family.",1,Male,54,United States of America
2,"] Haven't seen this film? Haven't even heard of this film? It wouldn't surprise me. One of the few truly ""independent"" films produced in the last ten years, no studio had faith in the picture and it was never picked up for major distribution. The independent company Kino Films, gave BOESMAN AND LENA a very limited run with virtually no promotion, and the majority of major film critics didn't even bother reviewing it. I guess a movie based on a one act, one set play about the apartheid and its affect on two individuals never really had a chance in today's market - and it's the intelligent film-lover's loss.<br /><br />For the record, both Angela Bassett and Danny Glover deserved Ocsar nominations (as did the cinematographer) but the film received such little fanfare that I can't even blame the academy on that one. This is a film that is challenging, thought-provoking, and heartbreaking, and it actually requires the audience to meet it on it's own terms. Taking that into consideration, it is definitely not a movie for mindless entertainment. Director John Berry wisely does not attempt to dress-up Athol Fugard's play. Sure, we're given a few fractured flashbacks and some breathtaking scenic shots, but the film version of BOESMAN AND LENA remains, on the whole, a story of two people living in inhumane conditions.<br /><br />Stripped of their basic human rights, Boesman (Glover) and Lena (Bassett) have no one left to attack but each other. A third character joins them for awhile (Willie Jonah, amazing in a largely silent role), but the film's focus never strays from the title characters and what they've become. Bassett and Glover give brave performances as the broken couple, performances that simply could not be improved upon. Vigorously and brutally stimulating, both intellectually and emotionally, BOESMAN AND LENA deserves to be rediscovered of home video. Hands down, the best film of the year 2000.",1,Male,25,United States of America
1,"If you are looking for a modern film version of Buster Crabbe or Johnny Weismuller's overcoming the machinations of unscrupulous, white safari guides or cunning, black tribesmen, while saving the animal kingdom, this is NOT the movie for you. This is a recounting of the Tarzan ""legend"" from its beginning in intelligent, adult terms. It is beautifully filmed and faithful to the Edgar Rice Burroughs stories.<br /><br />Tarzan is no action hero, but a man torn between two worlds - the natural and the civilized. In a stunning performance, Christopher Lambert portrays this angst with absolute realism. If he slips up just once the cat will be out of the bag: the audience (especially the adult audience targeted by the film) will laugh, and the film will completely lose its grip. It will plummet into the cheesy depths. But Lambert never lets that happen. (Forget what you may think of him in other movies; when I saw this film at the theater on its original release, I thought he deserved an academy award.)<br /><br />The supporting cast is uniformly excellent, as other commentators have noted. I disagree with most of them in that I didn't find anything wrong with Andie McDowell's performance. I wouldn't have nominated her for an academy award - the role is undemanding - but she is completely up to it, such as it is. I don't know why her voice was overdubbed, either.<br /><br />The cinematography of the African segment of the tale is absolutely beautiful. It captures both the beauty of the African wilderness and the exotic expectation it holds in the collective imagination of those who have never been there. The scenery is lush and exotic, and the colors are vivid.<br /><br />But this is also a ""period"" film, and the cinematography also magnificently depicts Victorian England - the countryside, the city and the interiors. The costumes are outstanding. The soundtrack is beautiful without being overwhelming or obtrusive.<br /><br />There are some disturbing scenes - especially for animal lovers - but no more disturbing than a few scenes in Dances with Wolves. This is an excellent film about the conflict between civilization and nature, personified in the young Lord Greystoke, convincingly portrayed by Christopher Lambert.",1,Male,33,Mexico
3,"They probably could have skipped some of the beginning - I'm not sure why this starts out in the Asian part of Turkey. If it was because starting in the Mediterranean, they could have gotten closer starting in modern day Lebanon.<br /><br />One the cameras and crews get to the Bakhtyari tribe, it's the beginning of an amazing 48 day journey. 50,000 people with about 250,000 goats, camels, cattle, and horses make this amazing trek across what seems to be a very fast moving Karun River. They use rafts that are kept afloat by inflating goat skins - you can see where the head and legs were removed. The other ""bank"" of the river was very steep - I'm guessing about a 60 degree rise.<br /><br />Just watching that was incredible, but there was much more to come. To get to the pastures, they also had to cross a major mountain that had about 4 feet of snow, if not more. Being able to climb this mountain was pretty amazing in and of itself, but they (and all of the animals) climbed this mountain barefoot! Yes, barefoot.<br /><br />The one drawback to this documentary were some of the inter-titles with poor attempts at humor.<br /><br />If you want to see a documentary from the silent era, or the incredible challenges that this tribe not only face, but conquer. This is just an incredible document of a little known group of people facing all kinds of challenges.",1,Female,31,Canada
4,"I find myself wondering what the people who gave this a 10 saw in it that I didn't. This movie has a VERY hard time following and/or staying to a plot. If someone tells you it's a comedy, don't be fooled, it's about 98% percent odd-drama and 2% comedy. All actors turn in a great performance, that cannot be denied, however it seems like it really lost something somewhere. Don't know if the original script was good and it had to be edited down or what. This had potential, and instead it was really a flop. I would really like the hour and a half I invested in this movie back, but the video rental place doesn't do returns on time. Save your money and see something else.",0,Female,27,Canada
2,"Relish every moment of this languorous spectacle with music to match (Mahler's 5th is gorgeous, but listen to the vocal portion of the 3rd symphony so beautifully utilised in this film). There are many aspects to this film, but the main subject is the overpowering force of beauty, its spontaneous nature, absence of logic for love and adoration. I am also an ardent fan of Bogarde and believe he was rarely as wonderful (try him in ""The Servant"" however). Note: I recommmend multiple viewings.",1,Female,22,Europe
2,"Turkish Cinema has a big problem. Directors aren't interested in global cinema. They are local and folkloric, but want to be international. This brings kitsch results such this movie.<br /><br />Film has jokes translated to Spanish from Turkish and they don't have any meaning for non-Turkish audiences. Even for Turkish audiences after 10 years.<br /><br />Players, even Ferhan SENSOY have a worse acting than average. They act like puppets.<br /><br />Movie was shot in Cuba, but nothing includes about Cuba. So Cuba is thought like a banana republic.<br /><br />Waste of money, waste of time.",0,Female,37,Mexico
1,"Was excited at the opening to hear part of ""Chevaliers De Sangreal"" but wanted more so I bought said Hans Zimmer piece. Possibly the most inspiring and beautiful 4 minutes of music ever written! This movie is an exciting thriller masterpiece even w/o the religious considerations. You get to tour the Vatican and parts of Rome with excellent cinematography. The opening at CERN where the ""God Particle"" or largest quantity of Antimatter is created with STUNNING visuals is an immediate clue which foretells the excellence of this movie. Who doesn't love Hanks? The storyline and twists in this film are just superb and well drawn out until the amazingly twisted climax. This film suggests a satisfying compromise between Science and Religion though plenty of closed heads will persist on both sides. ""Science without religion is lame, religion without science is blind."" A.Einstein",1,Female,20,United States of America
2,"This film is chock-full of little surprises, many of them funny. The fact that it's written and directed by a 24-year old blows my mind. Some of the scenes where the high school kids are using ecstasy made me very uncomfortable because I have a kid that age and I could picture her using it. As parent of a teen, I found the depictions of the parent-child interactions to be dead-on accurate.<br /><br />I enjoyed the film's many little jokes, and I enjoyed the fact that not everything made perfect sense and not all the issues were resolved by the end. To paraphrase Mark Twain, truth is stranger than fiction, because fiction is required to stick to that which is possible, while truth is not.<br /><br />This is a film which plays with the viewer, allowing us believe that people are what other people think they are, only to allow us later to realize that the folks we assumed were right were completely ignorant of the real situation. One of the film's strongest scenes, a scene about which we feel very relieved and sympathetic about what the character is doing, turns out to be based on a completely wrong assumption, and the character, while admirable, is totally wrong. It's very subtly done, I think. Very realistic.<br /><br />I liked the score a lot -- I thought it really aided the film, really helped set the mood -- the film has a couple of screwball moments, and the background music helps establish that.<br /><br />The valedictorian speech is a hoot and a half -- got a big laugh! The movie is really in my head right now -- saw it this morning. Will try to see it again, time allowing. Tens are hard to come by, but a solid nine in my book.",1,Male,38,Europe
3,"I watched this movie with some friends a couple months ago, I still laugh today thinking about some of the utter stupidity. The first few scenes alone were hilarious. I won't spoil anything for those who wish to see it, I wouldn't want to ruin the laughs. Needless to say the entire time I watched this movie I was trying to figure out exactly what the point of anything the characters in this movie were doing. Towards the end we all got bored however, as the initial hilarity and shock of a movie being this random wore off. There is no plot and not a trace of decent acting. The characters are about as well developed as those in a kindergarten ""Learn to Read"" book. They even managed to make a lesbian sex scene uninteresting.",0,Male,50,Japan
